LastName, FirstName, tid, RMPScore, RMPNumRatings
Rabinowitz, Adam, 836295, 4.3, 30
Winget, Donald, 1649644, 3.9, 30
Barchas, Janine, 726007, 3.0, 30
Carter, Patricia, 2224358, 4.4, 30
Slotta, James, 2177746, 4.2, 30
Papalexandrou, Athanasio, 1195405, 3.8, 30
Moon, Jennifer, 1124979, 4.7, 30
Slawek, Stephen, 263117, 3.0, 30
Leal, David, 1392493, 3.8, 30
Gleason, Marci, 1892028, 4.3, 30
Gebhardt, Karl, 1556488, 4.0, 30
Murphy, John, r-20603, 3.8, 29
Aprile, Jamie, 1482945, 3.0, 29
Gouda, Mohamed, 1300185, 2.8, 29
Sadun, Lorenzo, 1626073, 3.1, 29
Patton, James, 1130468, 4.8, 29
Karboski, James, r-75030, 3.6, 29
Vishik, Mikhail, 1453430, 2.3, 29
Rarick, Jason, 2424009, 4.4, 29
Mintz, Steven, 2290031, 4.3, 29
Nandakumar, Vallath, 1839596, 2.4, 29
Swinney, Harry, 445807, 3.5, 28
Cordova, Cary, 1569814, 3.8, 28
Vera, Eric, 2184099, 4.3, 28
Kamas, J., 2143322, 3.9, 28
Zamora, Emilio, 1269908, 3.4, 28
Kornhaber, Donna, 2195994, 4.4, 28
Charrier, Gretchen, 1967865, 4.2, 28
Klivans, Adam, 1630954, 3.2, 28
Edwards, David, r-63394, 3.1, 27
Wills, Derek, 452666, 2.9, 27
Arambula, Jonathan, 2184162, 2.7, 27
Pianka, Eric, 828023, 1.4, 27
Shen, Yunyi, 2284076, 2.0, 27
English, Peter, 2243350, 3.6, 27
Norman, Alison, 1902388, 3.5, 27
Johnson, Joel, 1800337, 3.3, 27
Collins, Sarah, 2116390, 4.0, 27
Pierson, Burton, 225946, 3.5, 26
Kushner, Phil, 342318, 2.6, 26
Canning, Charlotte, 585897, 2.2, 26
Taylor, Rabun, 1035076, 2.8, 26
Kappelman, John, 1630623, 3.1, 26
Taillefumier, Thibaud, 2179800, 3.0, 26
Daniels, Mark, 773473, 3.9, 26
Altuzar, Laura, 2255092, 2.7, 26
Carton, Evan, 2225233, 3.5, 26
Jones Barbour, Jennifer, 2290459, 4.5, 26
Kravchenko, Rostyslav, 2398596, 3.2, 26
Tye, Michael, 1286754, 3.6, 26
Lendecky, Brian, 993606, 4.0, 26
Irwin, Corinne, r-77601, 4.8, 25
Hays, Drew, 2165077, 3.9, 25
Heitmann, Raymond, 850297, 2.3, 25
Stanforth, Dixie, 1843080, 4.5, 25
McIver, John, 1601550, 2.6, 25
Danciger, Jeffrey, 2050064, 4.2, 25
Partridge, Jonathan, 2343797, 4.4, 25
Min, Dong-Ha, 1624771, 3.5, 25
Waldman, Louis, 935290, 4.3, 25
Biegalski, Steven, 461976, 4.7, 24
Coker, W. Rory, 613238, 2.9, 24
Rossen, Rebecca, 1184854, 4.3, 24
Webb, Lauren, 1734900, 3.3, 24
Morales, Pedro, 1905144, 3.7, 24
Bright, Stephen, 2053762, 2.8, 24
Gilbert, John, 235293, 3.8, 24
Kelly, William, or-9070, 3.8, 24
Cleveland, Lynda, or-2123, 2.5, 24
Lawrence, Mark, 483282, 4.2, 24
Renfro, Josh, 2502742, 1.5, 24
Gheith, Ahmed, 1730220, 4.7, 24
Ozanne, Rachel, 2440624, 4.4, 24
Maxwell, Mark, 1763834, 4.0, 24
Hedrick, Elizabeth, 2334568, 3.6, 24
Pangle, Thomas, 488839, 3.8, 24
Cox, J, 736541, 4.3, 23
Pat-El, Na'Ama, 1626678, 1.9, 23
Shapiro, Paul, 1879651, 2.8, 23
Rajagopalan, Ramesh, 2082501, 3.2, 23
Baggs, Laura, 2175777, 2.0, 23
Gwillim, Christine, 2188728, 2.5, 23
Ebbeler, Jennifer, 1122900, 3.1, 23
Sturm, Circe, 1891719, 3.2, 23
Heyman, Rich, 1960339, 2.6, 23
Johnston-Blair, Donna, 2021000, 4.5, 23
Gold, Bradley, 2054543, 3.5, 23
Foster, Kevin, 1484635, 3.3, 23
Hubbard, Thomas K., 613373, 2.8, 23
Page, Zachariah, 2405987, 3.7, 23
Dinerstein, Harriet, 1439979, 2.7, 23
Stevens, Scott, 355058, 3.0, 23
Porto, Lito, 593210, 4.2, 23
Tang, Eric, 2179114, 4.0, 23
Bowers, Matthew, 1651487, 4.8, 23
Graber, Jennifer, 1784022, 4.7, 23
Machart, Jan, 1194504, 3.8, 23
Duvic, Robert, 1966039, 3.9, 23
Steinman, Lydia, 979903, 3.9, 22
Close, Angeline, 1843505, 3.4, 22
Anderson, Michael, 1348248, 3.9, 22
